,Feature,Importance
0,JWTRNS_8.0,0.040523682320850594
1,HISP_2,0.04592239089429276
2,HISP_4,0.030410687413056234
3,HISP_21,0.031569237629406846
4,HISP_24,0.03077981250139318
5,OCCP_6240.0,0.033133298858708346
6,OCCP_9830.0,0.03440497016096204
7,RAC1P_3,0.03328429965031155
8,RAC1P_7,0.021055945777054563
9,RAC1P_9,0.02842632749508596
10,RACASN_0,0.03303642174894005
11,RACASN_1,0.03766090395194842
12,RACNH_0,0.03718136291611165
13,RACNH_1,0.0318914971530921
14,RACNUM_1,0.026744132448954808
15,RACNUM_2,0.035296891499556574
16,RACNUM_3,0.023907309671931803
17,RACNUM_4,0.03524553849164648
18,RACPI_0,0.02065400387462303
19,RACPI_1,0.021459732244445844
20,SFR_2.0,0.039364610222183745
21,WAOB_8,0.032373047070096396
22,OCCP_510.0,0.05858517899282777
23,RACNUM_5,0.023777086025938882
24,RACNUM_6,0.01821450021567495
25,OCCP_2755.0,0.023675887347285957
26,INTP,0.06894404996345377
27,OIP,0.022824984794323454
28,PAP,0.04130618742359996
29,RETP,0.04457115063512683
30,SEMP,0.05977325799945193
31,SSIP,0.1201631023457144
32,SSP,0.0433324012861607
33,WAGP,0.06209598164866243
34,PERNP,0.07275079002629765
35,PINCP,0.06366155234371143
36,POVPIP,0.06100155783204815
